Participant012-7,Participant015-7,Participant023-8,Participant028-8,Participant030-7,Participant036-7,Participant040-7,Participant043-7,Participant055-8,Participant058-8,Participant073-8,Participant078-7,Participant083-8,Participant085-8,Participant089-8,Participant099-7,Participant127-7,Participant133-7,Participant139-7,Participant142-8,Participant145-8,Participant151-8,Participant153-7,Participant159-8,Participant160-7,Participant167-8,Participant171-8,Participant172-8,Participant187-8,Participant188-8,Participant191-7,Participant197-8,Participant199-8,Participant203-8,Participant210-7,Participant212-8,Participant213-8,Participant216-7,Participant217-7,Participant227-7,Participant230-7,Participant234-8,Participant236-7,Participant237-7,Participant238-7,Participant239-7,Participant245-8,Participant254-7,Participant257-8,Participant263-7
0,0,0,0,2,0,0,0,0,26,2,0,0,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
24,5,23,5,0,31,32,17,59,9,11,7,6,0,16,4,0,0,14,54,9,20,0,2,0,4,8,8,0,12,2,0,4,0,16,26,9,0,32,0,2,1,14,4,13,2,3,0,54,29
18,0,7,20,0,41,33,9,53,38,1,0,3,16,13,6,0,0,1,31,0,20,0,1,6,6,0,0,0,5,0,0,0,0,13,55,3,4,36,0,0,0,17,4,15,0,0,0,2,14
28,1,28,25,0,24,35,0,60,47,0,0,0,0,12,0,0,0,5,29,0,16,0,0,0,9,1,2,0,0,0,0,0,0,6,84,0,0,99,0,0,0,0,6,16,0,0,0,79,9
29,0,42,58,0,22,39,30,29,0,0,0,0,0,2,0,0,0,0,25,5,0,0,0,0,22,0,0,0,3,0,0,0,0,7,82,1,0,5,0,5,0,0,0,12,0,0,0,35,6
24,2,8,31,0,24,26,7,22,0,25,0,0,5,0,0,0,0,0,33,0,25,0,0,0,29,0,0,0,6,0,0,0,0,4,81,1,0,63,0,0,0,0,5,5,0,0,0,46,4

Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
8,2,10,4,9,15,14,5,11,5,2,0,0,27,0,3,0,0,3,49,0,6,0,0,0,10,0,3,2,13,0,0,0,0,1,10,8,1,23,0,14,0,13,4,4,0,0,0,7,6
0,0,0,17,4,19,12,0,0,7,6,0,0,10,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,2,0,0,0,0,4,2
6,0,25,0,8,14,9,0,19,0,0,0,0,0,0,0,0,0,0,17,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,26,0,0,1,5,22,0,0,2,1,0
0,0,0,0,0,12,8,10,4,9,0,0,3,0,0,0,0,2,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,0,7,5,11,25,0,0,7,0,0
3,0,0,0,0,8,10,0,17,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,3,0,0,0,0,4,3

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
62,3,112,37,40,100,91,58,94,25,15,21,13,49,49,17,35,41,23,107,34,52,0,28,64,3,22,22,45,54,30,68,50,56,42,105,32,0,105,39,48,27,58,25,89,6,23,27,81,50
68,21,105,69,19,100,101,70,101,24,50,36,13,60,69,12,37,49,32,108,39,69,17,32,66,6,20,35,49,62,33,85,53,30,57,114,41,28,103,39,18,24,58,39,71,20,30,33,83,80
68,26,110,71,58,102,106,71,106,22,28,29,16,56,79,8,35,29,38,122,53,71,26,49,62,5,23,26,52,64,31,96,50,67,48,122,44,30,119,27,49,23,62,38,62,21,26,31,96,86
72,31,98,63,54,93,103,68,104,28,46,25,15,47,70,9,43,49,33,118,51,78,39,33,64,0,23,23,52,65,25,93,58,42,54,125,50,27,113,18,27,32,76,30,59,19,31,23,84,89
56,30,93,79,43,102,107,74,110,0,30,27,16,50,73,23,42,66,25,117,55,66,35,62,61,3,15,20,5,63,21,95,59,52,59,121,48,26,118,0,54,13,62,27,58,12,22,22,90,91

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
42,15,74,65,0,73,69,49,49,4,38,17,7,13,38,15,8,39,16,58,17,46,19,58,61,0,9,12,0,48,8,52,15,24,31,76,31,25,82,19,10,28,68,23,38,11,8,4,41,48
40,2,38,50,0,35,53,5,47,2,31,0,2,11,23,10,0,2,37,18,0,15,0,2,26,2,0,0,0,62,0,0,0,0,19,21,7,15,83,19,6,9,15,16,2,0,0,0,92,8
24,0,19,35,0,38,46,20,39,0,34,0,1,0,11,3,0,0,15,25,0,23,0,0,11,2,2,0,0,58,0,0,0,0,11,13,2,0,14,22,0,4,0,5,9,2,0,0,15,6
29,0,13,21,0,10,50,24,28,0,45,0,2,0,3,8,0,0,0,19,4,21,0,2,0,12,0,3,0,52,1,1,0,0,5,11,0,0,95,21,3,0,0,2,0,3,0,1,60,4
33,1,2,47,0,16,41,3,21,0,17,0,2,8,0,0,0,0,0,28,0,17,0,0,0,34,1,0,0,47,0,0,0,0,6,0,0,0,50,0,0,0,0,4,26,0,0,0,49,3

Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace 
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
8,71,1,0,2,13,15,75,0,1,0,11,0,8,0,6,175,10,9,20,0,0,30,0,129,4,0,0,0,23,0,0,0,0,14,2,0,3,12,5,14,0,9,27,11,4,0,5,0,6
9,95,0,0,1,24,13,56,0,0,9,0,0,4,0,3,164,6,8,3,0,0,59,0,130,0,0,0,0,0,2,0,0,0,37,0,0,3,15,0,2,0,0,67,11,4,0,10,0,12
3,140,49,0,2,32,21,0,1,0,0,6,0,1,0,8,166,8,5,3,0,0,68,0,138,0,0,0,0,0,3,0,0,0,28,0,0,6,9,0,3,0,6,39,6,2,0,3,0,8
6,116,0,0,12,21,24,40,0,14,0,7,0,0,0,5,133,8,3,5,0,0,10,0,130,0,0,0,0,0,1,0,0,0,21,0,0,5,16,0,6,9,27,20,12,4,0,7,0,7
1,99,0,0,13,19,21,97,6,25,0,4,0,0,0,4,151,5,9,0,0,0,0,0,112,0,0,0,0,0,4,0,0,0,17,0,0,4,25,0,13,0,38,10,17,6,0,10,2,12

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
1,144,305,12,4,0,0,12,33,81,16,3,5,4,12,0,12,1,3,22,11,4,0,0,6,0,2,11,4,107,0,13,9,10,4,34,14,3,1,0,0,3,1,1,0,4,24,0,11,0
0,0,212,17,0,0,0,0,22,74,59,0,6,8,16,0,0,0,0,29,21,6,2,1,0,0,6,8,5,139,0,18,24,4,0,28,7,0,0,0,0,10,0,0,0,0,32,0,7,0
0,0,142,14,0,0,0,1,22,89,48,0,2,10,13,0,0,0,0,26,11,8,0,2,0,3,17,12,3,131,0,12,20,14,0,21,10,0,0,0,0,10,0,0,0,0,24,0,5,0
0,0,28,19,0,0,0,0,19,70,59,0,5,10,15,0,0,0,7,27,20,6,0,1,0,0,7,17,7,134,0,4,9,6,0,22,4,0,0,0,0,4,0,0,0,0,25,0,14,0
0,0,75,13,0,0,0,0,18,0,73,0,5,2,13,0,0,0,0,32,8,13,0,106,0,0,6,19,1,130,0,4,15,13,0,25,2,0,0,0,0,4,0,0,0,0,28,0,11,0

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
1,18,80,8,0,16,5,25,9,8,32,3,0,3,7,0,0,0,23,8,8,7,0,48,0,0,2,10,0,116,0,2,5,5,2,20,4,1,7,0,0,7,2,0,0,2,7,0,4,2
3,0,4,10,0,26,5,6,9,4,34,0,0,23,8,1,0,0,4,0,0,3,0,1,11,0,0,0,0,135,0,0,0,0,5,6,1,0,4,0,0,5,10,0,0,0,0,0,12,1
3,1,9,17,0,5,8,3,27,0,42,0,0,0,0,0,0,0,8,14,0,7,0,0,0,0,0,0,0,148,0,0,0,0,4,3,0,0,19,0,0,1,0,4,0,0,0,0,6,0
4,0,5,2,0,11,0,57,10,0,18,0,1,0,0,0,0,0,0,2,1,6,0,0,0,1,0,3,0,137,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,0,0,0,6,1
2,9,1,6,0,4,6,8,1,0,10,0,2,8,0,0,0,0,0,2,0,4,0,0,0,10,0,0,0,105,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,7,0

Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace,Right workplace
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
6,7,10,5,2,3,1,14,21,5,117,0,4,4,7,1,0,0,0,36,8,3,0,10,0,3,4,8,26,118,0,60,19,9,0,25,5,0,10,0,5,33,11,14,0,0,34,0,14,0
0,0,88,11,1,2,1,0,29,5,116,0,5,11,16,0,0,0,0,22,10,3,0,5,0,4,4,9,12,131,0,14,8,11,0,17,6,1,0,5,0,7,0,8,0,0,35,0,7,0
1,0,260,13,2,3,0,0,20,19,88,0,7,105,15,0,0,0,0,27,15,1,0,2,0,2,9,7,2,138,0,12,10,7,0,27,6,0,3,3,0,23,0,27,1,0,44,0,6,0
0,0,271,12,0,2,2,17,26,131,45,0,3,19,14,0,0,1,0,10,9,1,0,1,0,4,5,14,6,142,0,14,13,6,0,26,6,0,0,5,0,6,1,5,1,0,36,3,3,0
1,0,188,17,0,4,1,0,17,80,48,0,9,11,16,0,0,0,0,14,11,4,0,3,18,2,8,12,2,142,0,13,8,4,0,26,8,0,0,3,0,4,0,0,0,0,35,0,9,0

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
7,26,4,3,6,28,27,61,1,77,11,5,1,2,4,5,154,8,11,5,0,2,0,0,112,1,0,3,5,12,3,1,0,0,23,1,0,0,20,3,3,1,38,3,14,2,9,3,0,9
9,103,0,0,3,35,26,64,0,87,5,1,0,0,0,1,172,6,70,0,0,0,35,0,129,2,0,0,0,0,1,0,0,0,30,0,0,4,17,6,2,0,44,6,4,4,0,8,0,8
5,117,0,0,13,41,26,65,0,27,0,2,0,0,0,4,176,3,86,0,0,0,62,0,133,2,0,0,0,0,3,0,0,0,32,0,0,6,10,5,1,0,27,18,0,3,0,9,0,12
4,118,0,0,17,52,25,72,0,25,0,7,0,0,0,4,158,13,59,0,0,0,75,0,135,1,0,0,0,0,2,0,0,0,25,0,0,1,16,3,4,0,42,6,0,5,0,5,0,14
5,116,0,0,12,51,23,42,0,0,0,5,0,0,0,8,144,12,44,0,0,0,31,0,134,2,0,0,1,0,4,0,0,0,16,0,0,3,18,0,4,0,33,26,0,5,0,4,0,17

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
6,95,58,2,0,37,9,39,13,2,15,3,1,0,3,10,30,7,26,15,2,0,30,0,113,0,5,2,0,24,0,0,6,0,10,8,2,1,14,5,0,0,21,5,0,1,3,0,8,5
8,6,3,0,0,20,13,4,16,16,1,0,1,27,0,7,0,0,52,4,0,1,0,0,65,2,0,0,0,13,0,0,0,0,13,9,1,0,15,4,0,0,6,3,1,0,0,0,1,0
5,21,8,6,0,19,3,26,53,4,0,0,0,0,2,3,0,0,16,4,0,6,0,0,23,2,0,0,0,0,0,0,0,0,3,16,0,0,0,1,0,0,0,13,0,0,0,0,7,1
6,19,13,4,0,8,6,30,3,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,7,0,0,0,9,0,0,0,0,1,18,0,0,16,2,0,0,0,0,0,1,0,0,5,0
17,16,2,5,0,6,7,2,1,0,12,0,0,4,18,0,0,0,0,2,0,9,0,0,0,8,0,0,0,9,0,0,0,0,4,19,0,0,7,0,0,0,0,4,8,0,0,0,4,0

Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point,Bar point
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
