Participant012-7,Participant015-7,Participant023-8,Participant028-8,Participant030-7,Participant036-7,Participant040-7,Participant043-7,Participant055-8,Participant058-8,Participant073-8,Participant078-7,Participant083-8,Participant085-8,Participant089-8,Participant099-7,Participant127-7,Participant133-7,Participant139-7,Participant142-8,Participant145-8,Participant151-8,Participant153-7,Participant159-8,Participant160-7,Participant167-8,Participant171-8,Participant172-8,Participant187-8,Participant188-8,Participant191-7,Participant197-8,Participant199-8,Participant203-8,Participant210-7,Participant212-8,Participant213-8,Participant216-7,Participant217-7,Participant227-7,Participant230-7,Participant234-8,Participant236-7,Participant237-7,Participant238-7,Participant239-7,Participant245-8,Participant254-7,Participant257-8,Participant263-7
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
53,16,62,57,37,57,69,39,69,17,54,40,16,6,56,22,34,59,32,58,55,40,24,16,58,38,25,31,44,48,32,76,63,62,50,82,33,19,77,8,46,43,16,10,91,16,39,27,49,28
59,27,106,48,45,77,88,32,95,19,43,28,22,25,57,24,32,59,34,107,48,39,43,21,65,40,23,25,52,62,33,87,62,55,61,104,50,21,117,3,63,30,0,13,106,23,34,30,60,68
50,30,105,76,57,87,93,8,73,21,57,29,22,58,71,29,28,41,34,97,50,50,31,47,57,17,22,29,53,65,30,92,60,57,64,104,48,35,87,0,15,45,7,22,85,18,35,23,82,65
74,34,110,77,77,83,73,57,92,42,60,25,17,61,57,15,33,43,32,76,54,57,2,41,67,24,26,29,40,66,25,86,59,52,42,115,59,31,101,0,44,27,54,8,79,27,34,24,83,70
50,23,108,76,74,95,88,51,79,31,54,18,21,55,85,17,29,56,35,124,53,52,0,20,55,13,28,33,43,63,28,92,58,52,61,119,60,35,99,0,69,26,45,22,109,27,33,31,75,51

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
5,4,3,25,31,7,5,11,4,21,23,9,2,7,16,3,1,2,9,7,7,7,0,8,3,8,10,5,2,6,3,10,1,1,14,2,8,29,3,0,4,7,3,5,9,14,8,3,0,7
