Participant002-6,Participant004-5,Participant005-6,Participant008-6,Participant027-5,Participant031-5,Participant032-5,Participant034-6,Participant037-5,Participant041-6,Participant044-5,Participant050-5,Participant052-6,Participant053-6,Participant063-5,Participant066-6,Participant070-6,Participant076-6,Participant088-6,Participant095-5,Participant098-6,Participant104-5,Participant105-6,Participant108-5,Participant113-5,Participant114-6,Participant117-5,Participant146-5,Participant150-5,Participant157-5,Participant158-6,Participant161-5,Participant168-6,Participant173-6,Participant177-5,Participant186-5,Participant196-6,Participant200-5,Participant215-6,Participant222-6,Participant226-5,Participant229-6,Participant247-5,Participant249-5,Participant252-6,Participant255-6,Participant258-6,Participant260-6,Participant261-6,Participant262-5,Participant264-5
Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response,Target response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response,Alt response
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
10,4,2,9,3,19,2,8,9,44,7,0,0,6,12,7,2,0,6,4,0,4,0,0,9,20,0,3,23,15,0,0,0,13,4,5,0,3,0,3,15,39,0,5,0,2,8,15,0,23,18
0,2,0,6,5,7,0,0,3,5,1,0,0,1,0,2,0,0,10,0,0,6,0,3,9,16,7,1,5,7,0,0,0,4,1,2,0,1,0,0,11,22,6,4,0,0,0,32,0,0,17
0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,8,0,0,0,9,0,9,0,0,4,14,0,0,0,1,0,0,7,15,0,5,0,0,0,0,12,0,9,2,7,1,0,0,0,0,0
0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,5,0,7,0,6,7,0,3,3,12,0,0,0,0,0,1,0,14,5,9,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,3,0,0,0,2,9,0,0,15,13,0,0,0,0,0,1,3,0,0,0,0,0,10,0,0,0,0,32,0,0,43

Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2,Phase 2
12,29,9,41,40,41,7,51,20,97,73,50,42,0,55,38,17,42,10,20,63,49,6,39,17,34,17,12,104,21,23,50,38,80,0,40,65,22,49,2,109,111,6,43,36,29,18,126,35,68,103
13,42,0,30,45,42,9,50,22,106,97,83,77,0,91,54,24,45,29,65,64,74,16,48,23,44,55,18,130,43,24,57,34,94,25,34,80,14,36,1,126,120,5,46,51,32,49,145,36,99,118
13,46,0,63,46,46,13,58,19,97,103,76,69,5,95,72,25,44,24,99,86,84,11,52,28,43,43,21,140,46,24,46,24,93,18,47,74,16,45,2,129,120,3,47,64,36,39,136,37,92,106
14,32,0,40,37,45,12,71,7,108,87,82,73,5,98,42,21,44,36,98,76,90,10,39,28,41,33,22,129,53,24,50,23,97,33,44,72,17,46,13,114,116,2,48,56,31,48,138,32,84,94
17,45,0,33,39,43,8,73,5,113,97,74,74,10,92,97,24,47,40,96,67,86,9,33,32,21,23,22,129,27,27,51,30,102,33,38,74,18,52,11,126,109,3,34,59,41,49,143,34,96,113

Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3,Phase 3
10,18,0,23,28,18,4,37,6,36,60,26,52,8,26,26,9,9,51,55,14,42,5,23,21,26,8,14,115,51,12,30,9,56,20,16,7,14,24,20,90,88,2,26,36,7,32,60,18,75,65
18,3,0,35,16,4,1,19,9,2,21,2,3,20,17,13,0,0,24,34,0,10,0,11,21,23,0,12,49,36,0,0,0,27,15,1,0,0,5,10,37,46,3,21,25,3,25,18,0,45,77
47,0,0,42,7,4,5,10,9,1,7,0,3,5,3,46,0,0,4,29,0,3,0,3,19,19,0,5,4,3,0,0,0,14,0,2,0,0,0,8,42,37,3,9,16,0,36,20,0,34,20
24,0,0,41,0,4,2,0,13,2,1,0,3,0,1,23,1,0,0,42,0,4,0,9,31,19,0,2,2,3,0,5,0,15,18,0,0,0,5,0,40,47,6,0,20,2,7,21,0,23,60
18,0,6,17,0,3,0,0,8,0,0,0,4,3,5,35,0,0,0,32,0,1,0,0,29,39,0,5,17,0,4,0,0,12,9,0,0,0,0,5,26,39,1,3,3,3,14,19,0,46,71

Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace ,Left workplace 
Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1,Phase 1
3,57,0,0,74,2,0,2,6,12,6,151,0,0,13,0,0,0,1,12,0,10,0,5,2,3,94,4,58,25,0,8,0,1,5,46,0,2,0,1,6,33,22,58,0,10,18,0,0,10,21
0,55,0,0,58,2,1,0,4,1,8,130,0,2,14,0,0,0,2,16,0,25,0,6,1,0,64,3,56,39,0,10,0,0,9,40,0,4,0,0,5,18,4,79,0,0,0,3,0,7,8
